"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"5","United States","249170916","215296626","89029859","1425617","41.4","0.5"
"5","Alabama","3717378","3174351","1198284","124463","37.7","3.7"
"5","Alaska","524925","460898","219023","20422","47.5","3.9"
"5","Arizona","5597268","4773008","1802286","125888","37.8","2.7"
"5","Arkansas","2246527","1980525","779089","75487","39.3","3.6"
"5","California","29939021","25463739","10868818","615919","42.7","2.3"
"5","Colorado","4454718","4033917","1703472","124912","42.2","2.9"
"5","Connecticut","2732423","2409619","1023785","82860","42.5","3.3"
"5","Delaware","754637","647867","252176","25715","38.9","4.1"
"5","District of Columbia","542635","479126","210639","30633","44","6.3"
"5","Florida","17085385","14379691","6137490","432124","42.7","2.8"
"5","Georgia","7955983","6788838","2788869","223497","41.1","3.3"
"5","Hawaii","1073229","925545","313448","35525","33.9","3.6"
"5","Idaho","1343198","1184698","434565","52622","36.7","4.4"
"5","Illinois","9546424","7968442","3505228","308705","44","3.6"
"5","Indiana","5015550","4389912","1852784","156457","42.2","3.6"
"5","Iowa","2342905","2040158","771972","84426","37.8","4.3"
"5","Kansas","2140957","1894885","651616","66194","34.4","3.2"
"5","Kentucky","3344102","2932481","1249075","108222","42.6","3.9"
"5","Louisiana","3431432","2773085","1120586","117827","40.4","4.1"
"5","Maine","1065620","942307","401968","30813","42.7","3.3"
"5","Maryland","4586920","3985114","1597522","133144","40.1","3.4"
"5","Massachusetts","5324065","4807302","2121357","174904","44.1","3.6"
"5","Michigan","7644458","6714504","2907101","205295","43.3","3"
"5","Minnesota","4241624","3665462","1676319","130231","45.7","3.3"
"5","Mississippi","2189670","1894165","905142","84574","47.8","4.3"
"5","Missouri","4617880","4033486","1478723","140671","36.7","3.5"
"5","Montana","822204","719831","317673","38794","44.1","5.3"
"5","Nebraska","1418191","1249738","433616","46727","34.7","3.8"
"5","Nevada","2399457","2060235","754566","80534","36.6","4"
"5","New Hampshire","1073014","963518","377800","27810","39.2","3.2"
"5","New Jersey","6776822","5858098","2636299","208465","45","3.2"
"5","New Mexico","1589574","1381007","588868","56147","42.6","3.7"
"5","New York","14847080","12754157","5397907","394559","42.3","3"
"5","North Carolina","8017566","6869728","2895994","267036","42.2","3.7"
"5","North Dakota","561016","481663","151141","17712","31.4","4"
"5","Ohio","8822539","7824392","3140328","309064","40.1","4"
"5","Oklahoma","2916436","2515303","927611","98094","36.9","4"
"5","Oregon","3302727","2879644","1355255","86357","47.1","2.9"
"5","Pennsylvania","9776154","8310925","3645813","346352","43.9","3.6"
"5","Rhode Island","817559","709938","285019","29884","40.1","4.2"
"5","South Carolina","3969123","3348297","1197789","132828","35.8","4"
"5","South Dakota","642658","557879","214601","23376","38.5","4"
"5","Tennessee","5221475","4533743","1586007","110977","35","2.6"
"5","Texas","21356906","18568391","7585803","463928","40.9","2.4"
"5","Utah","2281207","2066662","829987","76494","40.2","3.5"
"5","Vermont","485485","443072","188381","22164","42.5","4.9"
"5","Virginia","6472737","5680145","2023886","163927","35.6","2.8"
"5","Washington","5890357","5356240","2323671","169847","43.4","2.9"
"5","West Virginia","1379576","1218923","511406","56507","42","4.6"
"5","Wisconsin","4438719","3812863","1534368","138624","40.2","3.5"
"5","Wyoming","433400","389105","154738","17759","39.8","4.8"
"5","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4278111","3605442","1528214","140327","42.4","3.5"
"5","Boston-Cambridge-Newton, MA-NH Metro Area","3890353","3516231","1486938","165885","42.3","4.3"
"5","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","6970152","5795060","2757765","310151","47.6","4"
"5","Dallas-Fort Worth-Arlington, TX Metro Area","5899479","5173438","1995587","269744","38.6","4"
"5","Detroit-Warren-Dearborn, MI Metro Area","3532103","3046898","1471409","149346","48.3","4.3"
"5","Houston-The Woodlands-Sugar Land, TX Metro Area","5742798","4933894","2072810","235221","42","3.9"
"5","Los Angeles-Long Beach-Anaheim, CA Metro Area","11017907","9175917","3631814","403303","39.6","3.6"
"5","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4590306","3706737","1521041","187628","41","4.8"
"5","New York-Newark-Jersey City, NY-NJ-PA Metro Area","14303693","12327537","5616704","420661","45.6","3.2"
"5","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","4793430","4011668","1786345","178105","44.5","4"
"5","Phoenix-Mesa-Chandler, AZ Metro Area","3877115","3328856","1291689","127738","38.8","3.6"
"5","Riverside-San Bernardino-Ontario, CA Metro Area","4160231","3589675","1409374","249635","39.3","5.4"
"5","San Francisco-Oakland-Berkeley, CA Metro Area","3713836","3143682","1404706","223910","44.7","4.9"
"5","Seattle-Tacoma-Bellevue, WA Metro Area","3284848","2959218","1309589","140869","44.3","4.2"
"5","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4998796","4412113","1712669","131293","38.8","2.7"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
