"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"11","United States","249170916","223327695","90642316","1331315","40.6","0.6"
"11","Alabama","3717378","3232674","1338363","129107","41.4","4"
"11","Alaska","524925","481909","235681","24288","48.9","4.4"
"11","Arizona","5597268","5004741","1984583","212812","39.7","4.1"
"11","Arkansas","2246527","1938440","768120","83809","39.6","4"
"11","California","29939021","26970894","11790814","655812","43.7","2.4"
"11","Colorado","4454718","4043282","1547112","167714","38.3","4.2"
"11","Connecticut","2732423","2457491","977508","100773","39.8","4"
"11","Delaware","754637","661807","243680","25982","36.8","4.1"
"11","District of Columbia","542635","486553","190816","24377","39.2","5"
"11","Florida","17085385","15173517","5876362","422050","38.7","2.8"
"11","Georgia","7955983","7007422","2844976","269935","40.6","3.4"
"11","Hawaii","1073229","979600","362515","44894","37","4.5"
"11","Idaho","1343198","1219818","484289","67250","39.7","5.3"
"11","Illinois","9546424","8384740","3573810","375703","42.6","4.4"
"11","Indiana","5015550","4574301","1815909","169351","39.7","3.8"
"11","Iowa","2342905","2125200","721105","78178","33.9","3.7"
"11","Kansas","2140957","1923916","694186","69583","36.1","3.7"
"11","Kentucky","3344102","3010006","1145907","125787","38.1","4.4"
"11","Louisiana","3431432","2961042","1188793","113512","40.1","3.3"
"11","Maine","1065620","980221","369582","44966","37.7","4.5"
"11","Maryland","4586920","3978048","1495686","138512","37.6","3.5"
"11","Massachusetts","5324065","4841704","2425455","193498","50.1","3.8"
"11","Michigan","7644458","6996107","3143651","218185","44.9","3"
"11","Minnesota","4241624","3789945","1441470","153775","38","4.1"
"11","Mississippi","2189670","1974581","876729","100799","44.4","4.7"
"11","Missouri","4617880","4251128","1619081","131511","38.1","3"
"11","Montana","822204","747095","315704","29517","42.3","4.1"
"11","Nebraska","1418191","1291019","428022","40309","33.2","3.1"
"11","Nevada","2399457","2226338","866321","89484","38.9","3.8"
"11","New Hampshire","1073014","1000712","386251","42952","38.6","4.2"
"11","New Jersey","6776822","5773728","2577261","212244","44.6","3.4"
"11","New Mexico","1589574","1469804","620732","70984","42.2","4.7"
"11","New York","14847080","13307190","5196793","489620","39.1","3.4"
"11","North Carolina","8017566","6976785","2503279","363514","35.9","5.1"
"11","North Dakota","561016","512680","125639","17963","24.5","3.7"
"11","Ohio","8822539","7961946","3320974","304309","41.7","3.6"
"11","Oklahoma","2916436","2705657","1054999","103061","39","3.7"
"11","Oregon","3302727","2997984","1350616","115290","45.1","3.8"
"11","Pennsylvania","9776154","8771825","3186251","270924","36.3","3.1"
"11","Rhode Island","817559","735505","360397","36862","49","4.8"
"11","South Carolina","3969123","3544641","1462204","201797","41.3","5.4"
"11","South Dakota","642658","594508","218984","26976","36.8","4.5"
"11","Tennessee","5221475","4889976","1788218","175469","36.6","3.6"
"11","Texas","21356906","19008136","7468948","536456","39.3","2.9"
"11","Utah","2281207","2108421","779404","73708","37","3.3"
"11","Vermont","485485","448090","177334","21136","39.6","4.9"
"11","Virginia","6472737","5693950","2668201","271669","46.9","4.2"
"11","Washington","5890357","5383357","2336220","140388","43.4","2.5"
"11","West Virginia","1379576","1284310","583708","52471","45.4","4.2"
"11","Wisconsin","4438719","4051127","1585107","189694","39.1","4.7"
"11","Wyoming","433400","393825","124566","17095","31.6","4.3"
"11","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4474973","4003364","1676011","225243","41.9","4.4"
"11","Boston-Cambridge-Newton, MA-NH Metro Area","3771315","3456343","1659690","160123","48","4.2"
"11","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","7128595","6131733","2586881","297313","42.2","4.6"
"11","Dallas-Fort Worth-Arlington, TX Metro Area","6013109","5425410","2201365","334351","40.6","5.5"
"11","Detroit-Warren-Dearborn, MI Metro Area","3832309","3482659","1508984","186813","43.3","4.7"
"11","Houston-The Woodlands-Sugar Land, TX Metro Area","5644640","4904667","1954497","271547","39.8","5.3"
"11","Los Angeles-Long Beach-Anaheim, CA Metro Area","9560179","8603244","3679541","440973","42.8","4.1"
"11","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4653519","3946674","1815185","225528","46","4.1"
"11","New York-Newark-Jersey City, NY-NJ-PA Metro Area","14089062","12301698","5369404","463216","43.6","3.8"
"11","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5092650","4507352","1897325","179456","42.1","3.6"
"11","Phoenix-Mesa-Chandler, AZ Metro Area","3962617","3568663","1444735","167680","40.5","4.4"
"11","Riverside-San Bernardino-Ontario, CA Metro Area","4433840","3908052","1918820","343427","49.1","5.9"
"11","San Francisco-Oakland-Berkeley, CA Metro Area","3515749","3221528","1149534","150530","35.7","5.6"
"11","Seattle-Tacoma-Bellevue, WA Metro Area","3165001","2928124","1262097","142826","43.1","4.1"
"11","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4520997","4075752","1803227","185119","44.2","3.9"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
