"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"8","United States","249170916","224678545","93351090","1714606","41.5","0.8"
"8","Alabama","3717378","3442827","1321074","147435","38.4","4.3"
"8","Alaska","524925","492282","232189","19423","47.2","4.1"
"8","Arizona","5597268","5137104","1993747","139671","38.8","2.8"
"8","Arkansas","2246527","2074487","819328","86862","39.5","4.2"
"8","California","29939021","26605667","12032542","787559","45.2","2.8"
"8","Colorado","4454718","4202711","1831561","152549","43.6","3.6"
"8","Connecticut","2732423","2421827","988700","108982","40.8","4.6"
"8","Delaware","754637","657426","246803","32150","37.5","4.9"
"8","District of Columbia","542635","481850","211625","25007","43.9","5.2"
"8","Florida","17085385","15260415","6402029","364339","42","2.4"
"8","Georgia","7955983","7449737","2962166","220510","39.8","2.9"
"8","Hawaii","1073229","990060","356945","38622","36.1","3.7"
"8","Idaho","1343198","1243324","448001","50845","36","4.1"
"8","Illinois","9546424","8522894","3699946","331297","43.4","3.6"
"8","Indiana","5015550","4476191","1974840","210236","44.1","4.5"
"8","Iowa","2342905","2140833","844433","92618","39.4","4.2"
"8","Kansas","2140957","1979456","816928","90189","41.3","4.3"
"8","Kentucky","3344102","2906894","1049895","128568","36.1","4.6"
"8","Louisiana","3431432","2991477","1192773","121276","39.9","3.7"
"8","Maine","1065620","990776","387456","43098","39.1","4.3"
"8","Maryland","4586920","4136517","1727028","174589","41.8","4.1"
"8","Massachusetts","5324065","4894133","2014360","164586","41.2","3.3"
"8","Michigan","7644458","6658411","2738292","249723","41.1","3.6"
"8","Minnesota","4241624","3832001","1450510","146187","37.9","4.1"
"8","Mississippi","2189670","1940683","882470","107025","45.5","5.2"
"8","Missouri","4617880","4261774","1665442","167504","39.1","3.8"
"8","Montana","822204","772203","315124","32320","40.8","4.1"
"8","Nebraska","1418191","1300681","473617","59099","36.4","4.7"
"8","Nevada","2399457","2106421","838363","82974","39.8","4.1"
"8","New Hampshire","1073014","985609","454453","47300","46.1","4.4"
"8","New Jersey","6776822","6186511","2828123","240526","45.7","4"
"8","New Mexico","1589574","1468700","697359","64868","47.5","4.1"
"8","New York","14847080","13559594","5924359","554440","43.7","3.7"
"8","North Carolina","8017566","7004759","2717778","281967","38.8","3.8"
"8","North Dakota","561016","526092","218081","30661","41.5","5.9"
"8","Ohio","8822539","7718540","2986157","313800","38.7","3.9"
"8","Oklahoma","2916436","2654321","1178076","117990","44.4","4.2"
"8","Oregon","3302727","3061691","1368672","120145","44.7","4"
"8","Pennsylvania","9776154","8966075","3887978","355893","43.4","4"
"8","Rhode Island","817559","736523","246656","32822","33.5","4.5"
"8","South Carolina","3969123","3683962","1149123","173574","31.2","4.9"
"8","South Dakota","642658","585335","202184","24619","34.5","4.2"
"8","Tennessee","5221475","4684361","1710109","179218","36.5","3.8"
"8","Texas","21356906","18932020","7232709","473345","38.2","2.4"
"8","Utah","2281207","2052451","806794","65775","39.3","3.4"
"8","Vermont","485485","455004","201944","23852","44.4","5"
"8","Virginia","6472737","5925624","2688207","309915","45.4","5.1"
"8","Washington","5890357","5327481","2549065","198660","47.8","3.7"
"8","West Virginia","1379576","1232713","492333","55672","39.9","4.3"
"8","Wisconsin","4438719","4163166","1761126","171695","42.3","4"
"8","Wyoming","433400","396952","131617","16923","33.2","4.4"
"8","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4527471","4221585","1718063","163261","40.7","3.8"
"8","Boston-Cambridge-Newton, MA-NH Metro Area","3866129","3610894","1408738","113583","39","3.2"
"8","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","7233165","6334276","2807333","308294","44.3","3.8"
"8","Dallas-Fort Worth-Arlington, TX Metro Area","5885504","5121524","2016541","276470","39.4","4.7"
"8","Detroit-Warren-Dearborn, MI Metro Area","3721741","3330453","1431455","168905","43","4.7"
"8","Houston-The Woodlands-Sugar Land, TX Metro Area","5776875","5122713","1847061","307956","36.1","5"
"8","Los Angeles-Long Beach-Anaheim, CA Metro Area","10265915","9204772","4210848","455767","45.7","4.6"
"8","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4394658","3843251","1560660","201593","40.6","4.3"
"8","New York-Newark-Jersey City, NY-NJ-PA Metro Area","14574230","13243491","6015581","557955","45.4","3.8"
"8","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5045198","4593140","2049851","290417","44.6","5.3"
"8","Phoenix-Mesa-Chandler, AZ Metro Area","3833985","3509308","1383547","125189","39.4","3.1"
"8","Riverside-San Bernardino-Ontario, CA Metro Area","4174788","3773830","1801541","342773","47.7","6.3"
"8","San Francisco-Oakland-Berkeley, CA Metro Area","3507547","3197624","1378883","232545","43.1","5.6"
"8","Seattle-Tacoma-Bellevue, WA Metro Area","2916323","2566122","1234626","146459","48.1","4.6"
"8","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4622240","4256968","1897398","177969","44.6","3.2"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
