"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"9","United States","249170916","224696243","93226987","1473584","41.5","0.6"
"9","Alabama","3717378","3259291","1275813","125056","39.1","3.7"
"9","Alaska","524925","481229","219225","18656","45.6","3.8"
"9","Arizona","5597268","5011175","2397147","189511","47.8","3.4"
"9","Arkansas","2246527","2007590","912633","94893","45.5","4.8"
"9","California","29939021","26957069","11039544","557812","41","1.9"
"9","Colorado","4454718","4072417","1775757","174503","43.6","4.5"
"9","Connecticut","2732423","2460701","997160","82168","40.5","3.2"
"9","Delaware","754637","677764","299694","33750","44.2","4.8"
"9","District of Columbia","542635","495269","201463","25690","40.7","4.8"
"9","Florida","17085385","15490954","6128685","449936","39.6","2.8"
"9","Georgia","7955983","7055315","3076165","293638","43.6","4.1"
"9","Hawaii","1073229","978932","344441","37476","35.2","4"
"9","Idaho","1343198","1230552","446243","44453","36.3","3.4"
"9","Illinois","9546424","8666108","4037279","342454","46.6","3.8"
"9","Indiana","5015550","4538452","1905240","213003","42","4.4"
"9","Iowa","2342905","2163434","780599","90370","36.1","4"
"9","Kansas","2140957","1903283","715570","71217","37.6","3.7"
"9","Kentucky","3344102","3036788","1322640","154399","43.6","5"
"9","Louisiana","3431432","3103219","1254698","121256","40.4","3.8"
"9","Maine","1065620","976309","450512","46312","46.1","4.8"
"9","Maryland","4586920","4168836","1746238","161489","41.9","3.7"
"9","Massachusetts","5324065","4904065","1999823","167795","40.8","3.5"
"9","Michigan","7644458","6765866","3036643","251721","44.9","3.4"
"9","Minnesota","4241624","3888973","1664253","189765","42.8","4.7"
"9","Mississippi","2189670","1986005","903311","107188","45.5","5.2"
"9","Missouri","4617880","4166479","1704382","149249","40.9","3.5"
"9","Montana","822204","764946","267374","29872","35","4"
"9","Nebraska","1418191","1305447","478012","46949","36.6","3.6"
"9","Nevada","2399457","2214366","996726","104431","45","4.7"
"9","New Hampshire","1073014","980634","422910","41645","43.1","4.2"
"9","New Jersey","6776822","6123749","2898435","268958","47.3","4.1"
"9","New Mexico","1589574","1421198","717482","60198","50.5","3.9"
"9","New York","14847080","12956132","5147287","446146","39.7","3.4"
"9","North Carolina","8017566","7226541","2654892","252027","36.7","3.4"
"9","North Dakota","561016","501905","182381","26429","36.3","5.1"
"9","Ohio","8822539","7867317","3175819","262393","40.4","3.3"
"9","Oklahoma","2916436","2658718","1092582","119264","41.1","4.6"
"9","Oregon","3302727","3110293","1371646","118185","44.1","3.9"
"9","Pennsylvania","9776154","8825177","3625661","343905","41.1","3.9"
"9","Rhode Island","817559","720318","241162","28532","33.5","4.1"
"9","South Carolina","3969123","3614941","1531766","158144","42.4","4.4"
"9","South Dakota","642658","577577","207991","29526","36","5.1"
"9","Tennessee","5221475","4676731","2005930","263661","42.9","5.2"
"9","Texas","21356906","19248461","7380533","588342","38.3","3"
"9","Utah","2281207","2070024","842428","72870","40.7","3.4"
"9","Vermont","485485","445051","194200","28903","43.6","5.6"
"9","Virginia","6472737","5827277","2272690","194252","39","3.2"
"9","Washington","5890357","5428771","2538069","185934","46.8","3.3"
"9","West Virginia","1379576","1244220","561822","69279","45.2","5.2"
"9","Wisconsin","4438719","4046314","1653897","193944","40.9","4.5"
"9","Wyoming","433400","394061","130131","21570","33","5.4"
"9","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4760451","4190556","1746019","227483","41.7","4.8"
"9","Boston-Cambridge-Newton, MA-NH Metro Area","3757676","3468843","1447051","149344","41.7","3.8"
"9","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","7218480","6468826","2952202","319711","45.6","4.5"
"9","Dallas-Fort Worth-Arlington, TX Metro Area","5470197","4956020","1894351","193782","38.2","3.9"
"9","Detroit-Warren-Dearborn, MI Metro Area","3856313","3344398","1632883","162133","48.8","4.5"
"9","Houston-The Woodlands-Sugar Land, TX Metro Area","5731397","5244621","1911038","255807","36.4","4.5"
"9","Los Angeles-Long Beach-Anaheim, CA Metro Area","10278916","9342813","3891474","440372","41.7","3.6"
"9","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4892933","4424790","1911588","271627","43.2","5.5"
"9","New York-Newark-Jersey City, NY-NJ-PA Metro Area","13838022","12096367","5181590","472380","42.8","3.3"
"9","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5373340","4908447","2329658","274649","47.5","4.6"
"9","Phoenix-Mesa-Chandler, AZ Metro Area","4004624","3628522","1814951","187580","50","4.5"
"9","Riverside-San Bernardino-Ontario, CA Metro Area","3998786","3539830","1438008","182201","40.6","4.3"
"9","San Francisco-Oakland-Berkeley, CA Metro Area","3786897","3551779","1426890","282879","40.2","5.5"
"9","Seattle-Tacoma-Bellevue, WA Metro Area","3179111","2898112","1423193","156976","49.1","3.8"
"9","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4633575","4243339","1751032","175535","41.3","3.8"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
