"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"6","United States","249170916","217411333","87656796","1611211","40.3","0.7"
"6","Alabama","3717378","3238440","1389652","200979","42.9","5.6"
"6","Alaska","524925","470964","208615","19945","44.3","4.2"
"6","Arizona","5597268","4948154","2107349","169094","42.6","3.3"
"6","Arkansas","2246527","1993053","824991","89559","41.4","4.2"
"6","California","29939021","26215079","10329687","730289","39.4","2.9"
"6","Colorado","4454718","3963127","1624007","162074","41","3.8"
"6","Connecticut","2732423","2404424","1089280","111250","45.3","4.6"
"6","Delaware","754637","664783","302300","32551","45.5","4.7"
"6","District of Columbia","542635","494329","231933","33077","46.9","7.1"
"6","Florida","17085385","14740244","6136386","500245","41.6","3.5"
"6","Georgia","7955983","7036996","2626565","217341","37.3","2.9"
"6","Hawaii","1073229","917838","281067","40099","30.6","4.5"
"6","Idaho","1343198","1179507","445788","52659","37.8","4.6"
"6","Illinois","9546424","8061207","3687858","322767","45.7","3.7"
"6","Indiana","5015550","4402775","1944250","224702","44.2","4.7"
"6","Iowa","2342905","2131753","799155","92148","37.5","3.9"
"6","Kansas","2140957","1918197","674600","75096","35.2","3.5"
"6","Kentucky","3344102","2999739","1293443","133864","43.1","4.3"
"6","Louisiana","3431432","3011622","1092542","99518","36.3","3.3"
"6","Maine","1065620","960325","427832","45352","44.6","4.7"
"6","Maryland","4586920","4071211","1529822","190546","37.6","4.6"
"6","Massachusetts","5324065","4665016","1832177","154000","39.3","3.3"
"6","Michigan","7644458","6518574","2662279","212212","40.8","3.2"
"6","Minnesota","4241624","3751395","1564445","129825","41.7","3.6"
"6","Mississippi","2189670","1863703","737915","91105","39.6","4.6"
"6","Missouri","4617880","3920959","1470737","159005","37.5","3.7"
"6","Montana","822204","731823","299966","25165","41","3.2"
"6","Nebraska","1418191","1255111","398954","50273","31.8","4"
"6","Nevada","2399457","2142619","739655","85785","34.5","3.9"
"6","New Hampshire","1073014","956593","356162","36343","37.2","4"
"6","New Jersey","6776822","5864150","2795091","270565","47.7","4.3"
"6","New Mexico","1589574","1417690","586260","49085","41.4","3.4"
"6","New York","14847080","12514973","5321404","488859","42.5","3.5"
"6","North Carolina","8017566","7008983","2333464","219743","33.3","3.2"
"6","North Dakota","561016","477454","135474","25332","28.4","4.6"
"6","Ohio","8822539","7969050","3510325","409936","44","5"
"6","Oklahoma","2916436","2517277","883780","102557","35.1","3.8"
"6","Oregon","3302727","3015362","1416258","103394","47","3.2"
"6","Pennsylvania","9776154","8512529","3334013","375285","39.2","4.2"
"6","Rhode Island","817559","700600","263890","34355","37.7","4.7"
"6","South Carolina","3969123","3247937","1206453","127093","37.1","3.7"
"6","South Dakota","642658","571680","206923","33701","36.2","5.6"
"6","Tennessee","5221475","4572770","1787221","174466","39.1","3.4"
"6","Texas","21356906","18420239","7378925","493685","40.1","2.5"
"6","Utah","2281207","2011747","695275","61046","34.6","3.2"
"6","Vermont","485485","446067","197138","29689","44.2","6.1"
"6","Virginia","6472737","5558392","2152228","222819","38.7","3.9"
"6","Washington","5890357","5323658","2207155","180310","41.5","3.3"
"6","West Virginia","1379576","1211491","468921","60059","38.7","5.2"
"6","Wisconsin","4438719","4020564","1531432","152154","38.1","3.8"
"6","Wyoming","433400","399164","135757","18783","34","4.8"
"6","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4854499","4268051","1761706","216753","41.3","3.9"
"6","Boston-Cambridge-Newton, MA-NH Metro Area","3575141","3175223","1262452","165111","39.8","4.4"
"6","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","6931752","5835904","2747646","330572","47.1","4.4"
"6","Dallas-Fort Worth-Arlington, TX Metro Area","6520626","5521694","2151261","296518","39","3.8"
"6","Detroit-Warren-Dearborn, MI Metro Area","3540040","3018231","1154702","117241","38.3","3.6"
"6","Houston-The Woodlands-Sugar Land, TX Metro Area","5851032","4953876","1915454","313833","38.7","4.8"
"6","Los Angeles-Long Beach-Anaheim, CA Metro Area","10251593","8663953","3163293","447912","36.5","4.6"
"6","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4625494","4032690","1712147","272927","42.5","5.4"
"6","New York-Newark-Jersey City, NY-NJ-PA Metro Area","14625880","12228184","5360119","519262","43.8","3.6"
"6","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","4861090","4263502","1892918","208272","44.4","3.8"
"6","Phoenix-Mesa-Chandler, AZ Metro Area","3902414","3450789","1370312","169124","39.7","4.4"
"6","Riverside-San Bernardino-Ontario, CA Metro Area","4417315","3691516","1405746","215716","38.1","5.4"
"6","San Francisco-Oakland-Berkeley, CA Metro Area","3264739","2849237","1233112","224671","43.3","5.5"
"6","Seattle-Tacoma-Bellevue, WA Metro Area","3317524","3088928","1307591","153763","42.3","4.2"
"6","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4689114","4076414","1698670","146097","41.7","3.1"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
