"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"10","United States","249170916","224465635","90056474","1398859","40.1","0.6"
"10","Alabama","3717378","3267194","1304382","161224","39.9","4.6"
"10","Alaska","524925","491255","205550","21631","41.8","4.5"
"10","Arizona","5597268","5104586","2067137","165328","40.5","3.1"
"10","Arkansas","2246527","2010883","873116","94863","43.4","4.5"
"10","California","29939021","26810916","10498397","621352","39.2","2.4"
"10","Colorado","4454718","3998183","1645789","144408","41.2","3.5"
"10","Connecticut","2732423","2487777","1033686","84979","41.6","3.5"
"10","Delaware","754637","666782","276860","22554","41.5","3.6"
"10","District of Columbia","542635","487764","228613","34357","46.9","7"
"10","Florida","17085385","15183086","5583776","454324","36.8","2.9"
"10","Georgia","7955983","7091608","2941621","218839","41.5","3"
"10","Hawaii","1073229","950670","291210","35941","30.6","3.7"
"10","Idaho","1343198","1209395","446608","46182","36.9","3.6"
"10","Illinois","9546424","8609964","3281394","336377","38.1","3.9"
"10","Indiana","5015550","4575850","1853728","181833","40.5","4.1"
"10","Iowa","2342905","2115929","755237","72032","35.7","3.3"
"10","Kansas","2140957","1957796","769019","76407","39.3","4"
"10","Kentucky","3344102","2901829","1186257","120639","40.9","4.1"
"10","Louisiana","3431432","2995780","1205207","127312","40.2","4.4"
"10","Maine","1065620","941391","392956","33619","41.7","3.6"
"10","Maryland","4586920","4302034","1977841","160188","46","3.8"
"10","Massachusetts","5324065","4854445","2030722","185453","41.8","3.5"
"10","Michigan","7644458","6869839","2928219","248069","42.6","3.5"
"10","Minnesota","4241624","3909216","1435923","150344","36.7","4"
"10","Mississippi","2189670","2001864","782725","99892","39.1","4.9"
"10","Missouri","4617880","4182616","1892403","166300","45.2","3.7"
"10","Montana","822204","751903","267562","29217","35.6","4.1"
"10","Nebraska","1418191","1289724","440373","56169","34.1","4.3"
"10","Nevada","2399457","2199240","965352","79219","43.9","3.5"
"10","New Hampshire","1073014","978699","347193","33050","35.5","3.5"
"10","New Jersey","6776822","6104740","2785726","255154","45.6","4"
"10","New Mexico","1589574","1436551","676296","59747","47.1","4.2"
"10","New York","14847080","13379717","5576624","431105","41.7","3.1"
"10","North Carolina","8017566","7123588","2840508","261029","39.9","3.3"
"10","North Dakota","561016","488933","192035","29218","39.3","6"
"10","Ohio","8822539","8010868","3094411","301426","38.6","3.7"
"10","Oklahoma","2916436","2701790","1004218","98908","37.2","3.7"
"10","Oregon","3302727","3062089","1397634","114052","45.6","3.5"
"10","Pennsylvania","9776154","8864941","3766571","412354","42.5","4.6"
"10","Rhode Island","817559","744782","293474","37249","39.4","4.9"
"10","South Carolina","3969123","3567913","1330504","124337","37.3","3.4"
"10","South Dakota","642658","557432","204482","33275","36.7","5.5"
"10","Tennessee","5221475","4806646","1827094","181306","38","3.8"
"10","Texas","21356906","19147257","7334195","560230","38.3","3"
"10","Utah","2281207","2089468","741668","61894","35.5","2.9"
"10","Vermont","485485","456721","202509","23092","44.3","5.1"
"10","Virginia","6472737","5891756","2493165","223364","42.3","3.7"
"10","Washington","5890357","5192328","2254936","174453","43.4","3.3"
"10","West Virginia","1379576","1220175","441865","55598","36.2","4.6"
"10","Wisconsin","4438719","4024460","1535121","144047","38.1","3.4"
"10","Wyoming","433400","395260","154582","19642","39.1","4.8"
"10","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","4486856","4030485","1629552","134516","40.4","3.5"
"10","Boston-Cambridge-Newton, MA-NH Metro Area","3749859","3399197","1306028","127067","38.4","3.7"
"10","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","7129021","6444724","2597737","239981","40.3","3.8"
"10","Dallas-Fort Worth-Arlington, TX Metro Area","5624356","5173579","2012453","251140","38.9","4.2"
"10","Detroit-Warren-Dearborn, MI Metro Area","3731690","3371072","1612959","219845","47.8","5.1"
"10","Houston-The Woodlands-Sugar Land, TX Metro Area","5350395","4766834","1726418","210305","36.2","4.7"
"10","Los Angeles-Long Beach-Anaheim, CA Metro Area","10385710","9294269","3788591","506593","40.8","4.9"
"10","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4984689","4385891","1769047","248610","40.3","4.5"
"10","New York-Newark-Jersey City, NY-NJ-PA Metro Area","14044650","12786461","5340137","527953","41.8","3.7"
"10","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","5185856","4634511","2242877","265994","48.4","4.2"
"10","Phoenix-Mesa-Chandler, AZ Metro Area","3946477","3618830","1397156","144647","38.6","3.4"
"10","Riverside-San Bernardino-Ontario, CA Metro Area","4201530","3922283","1544194","209912","39.4","4.5"
"10","San Francisco-Oakland-Berkeley, CA Metro Area","3460016","3176779","1176746","146498","37","4.5"
"10","Seattle-Tacoma-Bellevue, WA Metro Area","3238953","2809769","1206668","113897","42.9","3.4"
"10","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4735225","4413241","1987577","189083","45","3.5"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
