"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"1","United States","249170916","223113110","86449064","1297724","38.7","0.5"
"1","Alabama","3717378","3205157","1206233","147165","37.6","4.4"
"1","Alaska","524925","476589","203137","16690","42.6","3.4"
"1","Arizona","5597268","4985432","1818427","120714","36.5","2.5"
"1","Arkansas","2246527","1907983","788832","96665","41.3","5"
"1","California","29939021","26954916","10639086","760101","39.5","2.6"
"1","Colorado","4454718","4174190","1759803","113162","42.2","2.7"
"1","Connecticut","2732423","2414217","873081","96253","36.2","3.6"
"1","Delaware","754637","680823","243377","27621","35.7","4.1"
"1","District of Columbia","542635","497462","212434","20850","42.7","4"
"1","Florida","17085385","15181037","6269359","403282","41.3","2.6"
"1","Georgia","7955983","6986801","2809051","209310","40.2","2.8"
"1","Hawaii","1073229","981164","340013","42019","34.7","4.3"
"1","Idaho","1343198","1256218","419870","33718","33.4","2.7"
"1","Illinois","9546424","8334527","3103226","235287","37.2","2.5"
"1","Indiana","5015550","4557507","1560400","154978","34.2","3.4"
"1","Iowa","2342905","2160662","757580","98426","35.1","4.4"
"1","Kansas","2140957","1961984","693203","82792","35.3","4.1"
"1","Kentucky","3344102","3043371","1170971","126381","38.5","4.2"
"1","Louisiana","3431432","3010020","1148100","117653","38.1","3.6"
"1","Maine","1065620","976644","401609","32321","41.1","3.2"
"1","Maryland","4586920","4084373","1833528","161093","44.9","3.6"
"1","Massachusetts","5324065","4780540","1851645","126862","38.7","2.8"
"1","Michigan","7644458","6840242","2708754","189832","39.6","2.8"
"1","Minnesota","4241624","3909409","1627375","130475","41.6","3.2"
"1","Mississippi","2189670","1888701","623598","65741","33","3.6"
"1","Missouri","4617880","4190537","1614177","185933","38.5","3.9"
"1","Montana","822204","756801","304322","32747","40.2","4.4"
"1","Nebraska","1418191","1307022","469750","52712","35.9","4"
"1","Nevada","2399457","2196353","912002","85767","41.5","3.7"
"1","New Hampshire","1073014","977491","369968","25387","37.8","2.7"
"1","New Jersey","6776822","5941384","2251839","223489","37.9","3.7"
"1","New Mexico","1589574","1433523","576774","60620","40.2","4.3"
"1","New York","14847080","13182072","5351534","426663","40.6","3.2"
"1","North Carolina","8017566","7168145","2478494","208265","34.6","3"
"1","North Dakota","561016","501704","152657","18570","30.4","3.7"
"1","Ohio","8822539","7968085","3017540","281379","37.9","3.4"
"1","Oklahoma","2916436","2628590","1046209","116523","39.8","4.3"
"1","Oregon","3302727","3050147","1282553","102067","42","3.3"
"1","Pennsylvania","9776154","8776727","3353318","264047","38.2","2.9"
"1","Rhode Island","817559","731991","287580","29870","39.3","4"
"1","South Carolina","3969123","3389567","1308977","160835","38.6","4.4"
"1","South Dakota","642658","572210","232536","26501","40.6","5"
"1","Tennessee","5221475","4802433","1856262","149748","38.7","3.1"
"1","Texas","21356906","18978593","6555052","569682","34.5","3"
"1","Utah","2281207","2082329","840552","72241","40.4","3.3"
"1","Vermont","485485","455395","201046","18693","44.1","3.9"
"1","Virginia","6472737","5773353","2453743","182177","42.5","3.1"
"1","Washington","5890357","5370088","2312491","131356","43.1","2.5"
"1","West Virginia","1379576","1241449","482581","53964","38.9","4.2"
"1","Wisconsin","4438719","3984588","1541634","120622","38.7","3.1"
"1","Wyoming","433400","402567","132781","14926","33","3.6"
"1","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5045522","4480139","1874679","170616","41.8","3.5"
"1","Boston-Cambridge-Newton, MA-NH Metro Area","3825300","3414915","1342212","108846","39.3","2.8"
"1","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","6711809","5911221","2344922","199240","39.7","3"
"1","Dallas-Fort Worth-Arlington, TX Metro Area","6042623","5055055","1655411","313752","32.7","4.8"
"1","Detroit-Warren-Dearborn, MI Metro Area","3334812","2994442","1195625","125621","39.9","4"
"1","Houston-The Woodlands-Sugar Land, TX Metro Area","5352295","4635083","1678161","237090","36.2","4.4"
"1","Los Angeles-Long Beach-Anaheim, CA Metro Area","11065175","10112562","3767028","478129","37.3","3.9"
"1","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","4764380","4190082","1647236","233875","39.3","4.3"
"1","New York-Newark-Jersey City, NY-NJ-PA Metro Area","13659207","12061788","5057755","380181","41.9","2.9"
"1","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","4788219","4033707","1669023","156333","41.4","3.3"
"1","Phoenix-Mesa-Chandler, AZ Metro Area","3864078","3459980","1196480","115713","34.6","3.1"
"1","Riverside-San Bernardino-Ontario, CA Metro Area","4577129","4207595","1795294","371541","42.7","6.8"
"1","San Francisco-Oakland-Berkeley, CA Metro Area","3431059","3131856","1316073","195335","42","5.3"
"1","Seattle-Tacoma-Bellevue, WA Metro Area","3195155","2943347","1215890","116701","41.3","3.5"
"1","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4762361","4290780","1813917","143104","42.3","2.9"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
