"Delayed Medical Care, Household Pulse Survey","","","","","","",""
"Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","","","","","","",""
"","","","","Total Delayed Medical Care","","Percent Delayed Medical Care",""
"Week","Area","Total Population age 18+","Measure Universe","Number","Margin of Error +/-","Percent","MOE +/-"
"3","United States","249170916","222112978","90374389","1627958","40.7","0.7"
"3","Alabama","3717378","3236146","1258974","148054","38.9","4.7"
"3","Alaska","524925","487774","227580","18830","46.7","3.8"
"3","Arizona","5597268","5116058","1986549","190183","38.8","3.7"
"3","Arkansas","2246527","1951749","702025","91230","36","4.6"
"3","California","29939021","25773268","10659400","740578","41.4","2.9"
"3","Colorado","4454718","4107552","1717892","136757","41.8","3.3"
"3","Connecticut","2732423","2493616","1004660","94918","40.3","4"
"3","Delaware","754637","673850","212507","24033","31.5","3.8"
"3","District of Columbia","542635","495235","191385","28376","38.6","5.8"
"3","Florida","17085385","15132004","6189501","467676","40.9","3.1"
"3","Georgia","7955983","7146921","3035538","278488","42.5","4"
"3","Hawaii","1073229","988205","342932","47882","34.7","4.6"
"3","Idaho","1343198","1228285","411378","53558","33.5","4"
"3","Illinois","9546424","8381433","3648997","307158","43.5","3.7"
"3","Indiana","5015550","4581043","2024969","196336","44.2","4.1"
"3","Iowa","2342905","2130131","801739","83591","37.6","3.8"
"3","Kansas","2140957","1973985","721574","104560","36.6","5.1"
"3","Kentucky","3344102","2941575","1261174","143029","42.9","4.7"
"3","Louisiana","3431432","2936761","1154457","146784","39.3","4.8"
"3","Maine","1065620","972577","481522","47769","49.5","4.9"
"3","Maryland","4586920","4082517","1711482","167900","41.9","4.1"
"3","Massachusetts","5324065","4842898","1974796","155168","40.8","3"
"3","Michigan","7644458","6787892","2832497","251323","41.7","3.7"
"3","Minnesota","4241624","3902420","1452866","148765","37.2","3.7"
"3","Mississippi","2189670","1889384","776671","99350","41.1","5.2"
"3","Missouri","4617880","4130299","1653519","184669","40","4.5"
"3","Montana","822204","714471","327902","38978","45.9","5.1"
"3","Nebraska","1418191","1272988","557878","56147","43.8","4.5"
"3","Nevada","2399457","2150182","815141","91711","37.9","4.4"
"3","New Hampshire","1073014","1006884","428103","45280","42.5","4.4"
"3","New Jersey","6776822","6166275","2898537","284389","47","4.6"
"3","New Mexico","1589574","1439912","627386","66551","43.6","4.4"
"3","New York","14847080","13397646","5726851","551714","42.7","4"
"3","North Carolina","8017566","7192695","2759126","220484","38.4","3"
"3","North Dakota","561016","517145","176782","24185","34.2","4.7"
"3","Ohio","8822539","8077793","3394802","401760","42","4.8"
"3","Oklahoma","2916436","2644215","886323","108454","33.5","4.2"
"3","Oregon","3302727","3024908","1472075","134102","48.7","4.1"
"3","Pennsylvania","9776154","8672534","3255165","327003","37.5","3.7"
"3","Rhode Island","817559","726617","282446","33134","38.9","4.5"
"3","South Carolina","3969123","3572283","1399821","189011","39.2","5.1"
"3","South Dakota","642658","589469","217566","30087","36.9","5.2"
"3","Tennessee","5221475","4813991","1978578","218505","41.1","4.3"
"3","Texas","21356906","18441335","6982214","528255","37.9","2.8"
"3","Utah","2281207","2074366","722763","84252","34.8","4"
"3","Vermont","485485","439127","219306","20649","49.9","4.3"
"3","Virginia","6472737","5842767","2353406","221966","40.3","3.7"
"3","Washington","5890357","5267319","2301700","195148","43.7","3.6"
"3","West Virginia","1379576","1280640","400046","57342","31.2","4.5"
"3","Wisconsin","4438719","3997188","1565008","149009","39.2","3.8"
"3","Wyoming","433400","406652","188878","23220","46.4","5.5"
"3","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5001211","4603835","1870397","236292","40.6","4.7"
"3","Boston-Cambridge-Newton, MA-NH Metro Area","3847292","3542143","1485104","147719","41.9","3.4"
"3","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","6952766","6139257","2908017","254740","47.4","4.3"
"3","Dallas-Fort Worth-Arlington, TX Metro Area","6207790","5033684","1929208","268819","38.3","4.5"
"3","Detroit-Warren-Dearborn, MI Metro Area","3766708","3453394","1408892","206419","40.8","5.2"
"3","Houston-The Woodlands-Sugar Land, TX Metro Area","5419757","4552685","1747025","266119","38.4","5.2"
"3","Los Angeles-Long Beach-Anaheim, CA Metro Area","11174404","9752068","4144500","529412","42.5","5"
"3","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","5664425","5102381","1904105","222847","37.3","4.1"
"3","New York-Newark-Jersey City, NY-NJ-PA Metro Area","13356692","12030261","5203526","489578","43.3","4"
"3","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","4617768","4157733","1859985","239132","44.7","4"
"3","Phoenix-Mesa-Chandler, AZ Metro Area","3872676","3486698","1256136","196303","36","5"
"3","Riverside-San Bernardino-Ontario, CA Metro Area","4112691","3638624","1585063","302511","43.6","5.8"
"3","San Francisco-Oakland-Berkeley, CA Metro Area","4274605","3634160","1353513","257994","37.2","6.2"
"3","Seattle-Tacoma-Bellevue, WA Metro Area","3098302","2860484","1156974","140973","40.4","4.6"
"3","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4743165","4256173","1698720","174540","39.9","3.8"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
